Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Rusdis1	ballistospory	Russula	dissimulans	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Russula dissimulans BPL704 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	74
Ruseme1	ballistospory	Russula	emetica	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Russula emetica Přilba v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	75
Rusoch1	ballistospory	Russula	ochroleuca	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Russula ochroleuca Přilba v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	76
Denbi1	ballistospory	Dendrothele	bispora	Lachnellaceae	Agaricales	Agaricomycetes	Basidiomycota	Dendrothele bispora CBS 962.96 v1.0	smooth	Resupinate	WoodDF	ballistospory	0	PL109	77
Cylto1	ballistospory	Cylindrobasidium	torrendii	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Cylindrobasidium torrendii FP15055 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	78
Pilcr1	ballistospory	Piloderma	croceum	Atheliaceae	Atheliales	Agaricomycetes	Basidiomycota	Piloderma croceum F 1598 v1.0	smooth	Resupinate	Mycorrhizal	ballistospory	0	PL109	79
Olipa1	ballistospory	Oliveonia	pauxilla	NA	Auriculariales	Agaricomycetes	Basidiomycota	Oliveonia pauxilla MPI-PUGE-AT-0066 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	80
Conol1	ballistospory	Coniophora	olivacea	Coniophoraceae	Boletales	Agaricomycetes	Basidiomycota	Coniophora olivacea MUCL 20566 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	81
Conpu1	ballistospory	Coniophora	puteana	Coniophoraceae	Boletales	Agaricomycetes	Basidiomycota	Coniophora puteana v1.0	smooth	Resupinate	WoodDF	ballistospory	0	PL109	82
Botbo1	ballistospory	Botryobasidium	botryosum	Botryobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Botryobasidium botryosum v1.0	smooth	Resupinate		ballistospory	0	JGI202304	83
CerAGI	ballistospory	Ceratobasidium	sp.	Ceratobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Ceratobasidium sp. anastomosis group I; DN8442 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	84
Tulca1	ballistospory	Tulasnella	calospora	Tulasnellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Tulasnella calospora AL13/4D v1.0	smooth	Resupinate		ballistospory	0	JGI202304	85
Punst1	ballistospory	Punctularia	strigosozonata	Punctulariaceae	Corticiales	Agaricomycetes	Basidiomycota	Punctularia strigosozonata v1.0	smooth	Resupinate		ballistospory	0	JGI202304	86
Schpa1	ballistospory	Schizopora	paradoxa	Schizoporaceae	Hymenochaetales	Agaricomycetes	Basidiomycota	Schizopora paradoxa KUC8140 v1.0	poroid	Resupinate		ballistospory	0	JGI202304	87
Jaaar1	ballistospory	Jaapia	argillacea	Jaapiaceae	Jaapiales	Agaricomycetes	Basidiomycota	Jaapia argillacea v1.0	poroid	Resupinate		ballistospory	0	JGI202304	88
Epityp1	ballistospory	Epithele	typhae	Epitheliaceae	Polyporales	Agaricomycetes	Basidiomycota	Epithele typhae CBS 203.58 v1.0	hydnoid	Resupinate		ballistospory	0	JGI202304	89
Fibra1	ballistospory	Fibroporia	radiculosa	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Fibroporia radiculosa TFFH 294	poroid	Resupinate		ballistospory	0	JGI202304	90
Obbri1	ballistospory	Obba	rivulosa	Gelatoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Obba rivulosa 3A-2 v1.0	poroid	Resupinate		ballistospory	0	JGI202304	91
Phlbr1	ballistospory	Phlebia	brevispora	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Phlebia brevispora HHB-7030 SS6 v1.0	smooth	Resupinate	WoodDF	ballistospory	0	PL109	92
Phlcen1	ballistospory	Phlebia	centrifuga	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Phlebia centrifuga FBCC195	smooth	Resupinate		ballistospory	0	JGI202304	93
Phchr2	ballistospory	Phanerochaete	chrysosporium	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Phanerochaete chrysosporium RP-78 v2.2	smooth	Resupinate		ballistospory	0	JGI202304	94
Dicsq1	ballistospory	Dichomitus	squalens	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Dichomitus squalens LYAD-421 SS1 v1.0	poroid	Resupinate	WoodDF	ballistospory	0	PL109	95
Densp1	ballistospory	Dentipellis	sp.	Hericiaceae	Russulales	Agaricomycetes	Basidiomycota	Dentipellis sp. KUC8613 v1.0	hydnoid	Resupinate		ballistospory	0	JGI202304	96
Stehi1	ballistospory	Stereum	hirsutum	Stereaceae	Russulales	Agaricomycetes	Basidiomycota	Stereum hirsutum FP-91666 SS1 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	97
Sisni1	ballistospory	Sistotremastrum	niveocremeum	Hydnodontaceae	Trechisporales	Agaricomycetes	Basidiomycota	Sistotremastrum niveocremeum HHB9708 ss-1 1.0	smooth	Resupinate		ballistospory	0	JGI202304	98
Aurde3_1	ballistospory	Auricularia	subglabra	Auriculariaceae	Auriculariales	Agaricomycetes	Basidiomycota	Auricularia subglabra v2.0	smooth	Tremella-like	WoodDF	ballistospory	0	PL109	99
Exigl1	ballistospory	Exidia	glandulosa	Exidiaceae	Auriculariales	Agaricomycetes	Basidiomycota	Exidia glandulosa v1.0	smooth	Tremella-like	WoodDF	ballistospory	0	PL109	100
Rhiso1	ballistospory	Rhizoctonia	solani	Ceratobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Rhizoctonia solani AG-1 IB	no	woFrb		ballistospory	0	JGI202304	105
Crevar1	ballistospory	Crepidotus	variabilis	Crepidotaceae	Agaricales	Agaricomycetes	Basidiomycota	Crepidotus variabilis CBS 506.95 v1.0	lamellate	bracket		ballistospory	0	JGI202304	125
Fishe1	ballistospory	Fistulina	hepatica	Fistulinaceae	Agaricales	Agaricomycetes	Basidiomycota	Fistulina hepatica v1.0	poroid	bracket	WoodDF	ballistospory	0	PL109	126
Plicr1	ballistospory	Plicaturopsis	crispa	Amylocorticiaceae	Amylocorticiales	Agaricomycetes	Basidiomycota	Plicaturopsis crispa v1.0	lamellate	bracket		ballistospory	0	JGI202304	127
ClaPMI390	ballistospory	Sistotrema	sp.	Corticiaceae	Corticiales	Agaricomycetes	Basidiomycota	Sistotrema sp. PMI_390 v1.0	poroid	bracket		ballistospory	0	JGI202304	128
Glotr1_1	ballistospory	Gloeophyllum	trabeum	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Gloeophyllum trabeum v1.0	lamellate	bracket		ballistospory	0	JGI202304	129
Fomme1	ballistospory	Fomitiporia	mediterranea	Hymenochaetaceae	Hymenochaetales	Agaricomycetes	Basidiomycota	Fomitiporia mediterranea v1.0	poroid	bracket		ballistospory	0	JGI202304	130
Pheno1	ballistospory	Phellinus	noxius	Hymenochaetaceae	Hymenochaetales	Agaricomycetes	Basidiomycota	Phellinus noxius FFPRI411160	poroid	bracket		ballistospory	0	JGI202304	131
PosplRSB12_1	ballistospory	Postia	placenta	Dacryobolaceae	Polyporales	Agaricomycetes	Basidiomycota	Postia placenta MAD-698-R-SB12 v1.0	poroid	bracket	WoodDF	ballistospory	0	PL109	132
Daequ1	ballistospory	Daedalea	quercina	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Daedalea quercina v1.0	poroid	bracket		ballistospory	0	JGI202304	133
Pipbet1_1	ballistospory	Fomitopsis	betulina	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Fomitopsis betulina CIRM-BRFM 1772 v1.1	poroid	bracket		ballistospory	0	JGI202304	134
Fompi3	ballistospory	Fomitopsis	schrenkii	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Fomitopsis schrenkii FP-58527 SS1 v3.0	poroid	bracket		ballistospory	0	JGI202304	135
Cytmel1	ballistospory	Cytidiella	melzeri	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Cytidiella melzeri FP 102339 v1.0	smooth	bracket		ballistospory	0	JGI202304	136
Trace1	ballistospory	Trametopsis	cervina	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametopsis cervina CIRM-BRFM 1824 v1.0	poroid	bracket		ballistospory	0	JGI202304	137
Laesu1	ballistospory	Laetiporus	sulphureus	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Laetiporus sulphureus var. sulphureus v1.0	poroid	bracket		ballistospory	0	JGI202304	138
Wolco1	ballistospory	Wolfiporia	cocos	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Wolfiporia cocos MD-104 SS10 v1.0	smooth	bracket		ballistospory	0	JGI202304	139
Rigmic1	ballistospory	Rigidoporus	microporus	Meripilaceae	Polyporales	Agaricomycetes	Basidiomycota	Rigidoporus microporus ED310 v1.0	poroid	bracket		ballistospory	0	JGI202304	140
